HMDB0000158,P36021,SLC16A2
HMDB0000158,P11362,FGFR1
HMDB0000158,P00533,EGFR
HMDB0000158,Q8TF71,SLC16A10
HMDB0000158,Q96RQ9,IL4I1
HMDB0000158,Q6PHW0,IYD
HMDB0000158,Q8NG68,TTL
HMDB0001366,P06737,PYGL
HMDB0001366,P00491,PNP
HMDB0002712,Q96JD6,AKR1E2
HMDB0000296,P21589,NT5E
HMDB0000296,Q96P26,NT5C1B
HMDB0000296,Q9BXI3,NT5C1A
HMDB0000296,Q8TCD5,NT5C
HMDB0000296,Q9NPB1,NT5M
HMDB0000296,Q9HA47,UCK1
HMDB0000296,Q9Y606,PUS1
HMDB0000296,O60832,DKC1
HMDB0000296,Q9BZX2,UCK2
HMDB0000296,Q546Y9,AID
HMDB0000296,Q9H0P0,NT5C3
HMDB0000296,P49902,NT5C2
HMDB0000296,P32320,CDA
HMDB0000296,Q16831,UPP1
HMDB0000296,O95045,UPP2
HMDB0000296,Q9NWZ5,UCKL1
HMDB0000296,Q3MIT2,PUS10
HMDB0000296,Q9BZE2,PUS3
HMDB0000296,Q8N0Z8,PUSL1
HMDB0000296,Q6NTF7,APOBEC3H
HMDB0000296,P31941,APOBEC3A
HMDB0000296,Q9UH17,APOBEC3B
HMDB0000296,Q9NRW3,APOBEC3C
HMDB0000296,Q96AK3,APOBEC3D
HMDB0000296,Q8IUX4,APOBEC3F
HMDB0003156,Q9BQB6,VKORC1
HMDB0000131,Q9NZK7,PLA2G2E
HMDB0000131,P15121,AKR1B1
HMDB0000131,Q92523,CPT1B
HMDB0000131,P50416,CPT1A
HMDB0000131,P06858,LPL
HMDB0000131,P23786,CPT2
HMDB0000131,Q99685,MGLL
HMDB0000131,P12429,ANXA3
HMDB0000131,O43252,PAPSS1
HMDB0000131,P09848,LCT
HMDB0000131,P17050,NAGA
HMDB0000131,P14550,AKR1A1
HMDB0000131,Q05469,LIPE
HMDB0000131,P06280,GLA
HMDB0000131,P11766,ADH5
HMDB0000131,P00325,ADH1B
HMDB0000131,P40394,ADH7
HMDB0000131,P07327,ADH1A
HMDB0000131,P28332,ADH6
HMDB0000131,P00326,ADH1C
HMDB0000131,P09211,GSTP1
HMDB0000131,Q14410,GK2
HMDB0000131,P32189,GK
HMDB0000131,P16278,GLB1
HMDB0000131,P37173,TGFBR2
HMDB0000211,P06280,GLA
HMDB0000211,O14735,CDIPT
HMDB0000211,Q9UGB7,MIOX
HMDB0000211,P29218,IMPA1
HMDB0000211,O14732,IMPA2
HMDB0000211,Q9NZC3,GDE1
HMDB0000211,Q9NX62,IMPAD1
HMDB0000098,P15121,AKR1B1
HMDB0000098,Q9UQ10,DHDH
HMDB0000098,Q8WWX8,SLC5A11
HMDB0000098,O60218,AKR1B10
HMDB0000098,O75063,FAM20B
HMDB0000192,P32929,CTH
HMDB0000192,Q07837,SLC3A1
HMDB0000192,P82251,SLC7A9
HMDB0000192,Q9UPY5,SLC7A11
HMDB0000192,P43007,SLC1A4
HMDB0000192,Q8TF71,SLC16A10
HMDB0000192,O60931,CTNS
HMDB0000190,Q6ZMR3,LDHAL6A
HMDB0000190,P07195,LDHB
HMDB0000190,P07864,LDHC
HMDB0000190,P00338,LDHA
HMDB0000190,Q9BYZ2,LDHAL6B
HMDB0000177,P20711,DDC
HMDB0000177,Q96KN2,CNDP1
HMDB0000177,O60678,PRMT3
HMDB0000177,P49590,HARS2
HMDB0000177,P12081,HARS
HMDB0000177,P42357,HAL
HMDB0000177,P19113,HDC
HMDB0000177,Q99624,SLC38A3
HMDB0000177,Q8TF71,SLC16A10
HMDB0000177,A5YM72,CARNS1
HMDB0000177,Q9Y5R4,HEMK1
HMDB0000177,Q6P1Q9,METTL2B
HMDB0000177,Q8TCB7,METTL6
HMDB0000177,O43709,WBSCR22
HMDB0015109,Q15166,PON3
HMDB0015109,P00813,ADA
HMDB0015109,P05177,CYP1A2
HMDB0015109,P11511,CYP19A1
HMDB0000660,P52790,HK3
HMDB0000660,P52789,HK2
HMDB0000660,P19367,HK1
HMDB0000660,P14410,SI
HMDB0000660,Q00796,SORD
HMDB0000660,P50053,KHK
HMDB0000660,P10253,GAA
HMDB0000660,O43451,MGAM
HMDB0000660,Q8TET4,GANC
HMDB0000660,Q9NRX4,PHPT1
HMDB0000660,Q2TB90,HKDC1
HMDB0000660,Q13613,MTMR1
HMDB0000660,Q13614,MTMR2
HMDB0000660,Q9Y217,MTMR6
HMDB0000660,Q9Y216,MTMR7
HMDB0000161,P80404,ABAT
HMDB0000161,Q16719,KYNU
HMDB0000161,Q9BYV1,AGXT2
HMDB0000161,P49588,AARS
HMDB0000161,P21549,AGXT
HMDB0000161,P24298,GPT
HMDB0000161,O75594,PGLYRP1
HMDB0000161,Q9UHI5,SLC7A8
HMDB0000161,Q9Y697,NFS1
HMDB0000161,Q99624,SLC38A3
HMDB0000161,P43007,SLC1A4
HMDB0000161,Q7Z2H8,SLC36A1
HMDB0000161,Q8TD30,GPT2
HMDB0000161,Q96I15,SCLY
HMDB0000161,Q8TF71,SLC16A10
HMDB0000161,Q8IUZ5,AGXT2L2
HMDB0000161,Q96EN8,MOCOS
HMDB0000161,Q96LB9,PGLYRP3
HMDB0000161,Q96LB8,PGLYRP4
HMDB0000161,Q5JTZ9,AARS2
HMDB0000161,Q96PD5,PGLYRP2
HMDB0000267,Q16769,QPCT
HMDB0000267,O14841,OPLAH
HMDB0000267,P03950,ANG
HMDB0000267,P01709,Enzyme
HMDB0000267,P04745,AMY1A
HMDB0000267,P04746,AMY2A
HMDB0000267,P15692,VEGFA
HMDB0000267,P19961,AMY2B
HMDB0000267,O43612,HCRT
HMDB0000267,O75223,GGCT
HMDB0000267,P0CG04,IGLC1
HMDB0000267,Q9BVM4,GGACT
HMDB0001043,P49327,FASN
HMDB0001043,P39877,PLA2G5
HMDB0001043,Q9BZM2,PLA2G2F
HMDB0001043,P47712,PLA2G4A
HMDB0001043,P04054,PLA2G1B
HMDB0001043,Q9BX93,PLA2G12B
HMDB0001043,O15496,PLA2G10
HMDB0001043,Q9UHV8,LGALS13
HMDB0001043,Q9NZK7,PLA2G2E
HMDB0001043,Q9BZM1,PLA2G12A
HMDB0001043,O60733,PLA2G6
HMDB0001043,Q05315,CLC
HMDB0001043,P14555,PLA2G2A
HMDB0001043,Q9UNK4,PLA2G2D
HMDB0001043,P16233,PNLIP
HMDB0001043,P11150,LIPC
HMDB0001043,P54315,PNLIPRP1
HMDB0001043,Q9NST1,PNPLA3
HMDB0001043,P07098,LIPF
HMDB0001043,Q9Y5X9,LIPG
HMDB0001043,P19835,CEL
HMDB0001043,P54317,PNLIPRP2
HMDB0001043,P06858,LPL
HMDB0001043,Q02928,CYP4A11
HMDB0001043,P23141,CES1
HMDB0000143,P15121,AKR1B1
HMDB0000143,P52790,HK3
HMDB0000143,P52789,HK2
