HMDB0263611 C44H78NO11PS
HMDB0012456 C48H80N7O20P3S
HMDB0049407 C57H106O5
HMDB0053081 C61H94O6
HMDB0264727 C43H75O9P
HMDB0265338 C43H71O9P
HMDB0265397 C41H69O10P
HMDB0037091 C34H40O22
HMDB0053382 C61H106O6
HMDB0008033 C41H82NO8P
HMDB0052307 C67H116O6
HMDB0011954 C111H191N5O55
HMDB0266037 C45H71O10P
HMDB0054006 C59H104O5
HMDB0286181 C47H82NO9P
HMDB0048925 C61H108O6
HMDB0268347 C45H81O9P
HMDB0266085 C45H71O9P
HMDB0264096 C41H67O9P
HMDB0115104 C43H81O8P
HMDB0043687 C56H100O6
HMDB0012101 C41H81N2O6P
HMDB0009727 C49H92NO8P
HMDB0288540 C48H78NO9P
HMDB0262880 C36H65O11P
HMDB0011790 C93H167N3O39
HMDB0289692 C44H82NO8P
HMDB0289250 C46H76NO11P
HMDB0262829 C37H61O9P
HMDB0013063 C30H47N3O10S
HMDB0009151 C37H68NO8P
HMDB0009179 C47H86NO8P
HMDB0265085 C41H73O10P
HMDB0267004 C40H71O9P
HMDB0289304 C48H78NO10P
HMDB0052969 C59H94O6
HMDB0055908 C57H98O5
HMDB0035460 C51H52O27
HMDB0114975 C36H65O8P
HMDB0053736 C65H122O5
HMDB0042418 C59H102O6
HMDB0263323 C37H69O9P
HMDB0053425 C65H106O6
HMDB0054157 C67H112O6
HMDB0011309 C44H84NO7P
HMDB0046692 C63H112O6
HMDB0002022 C7H15N2O8P
HMDB0043389 C60H106O6
HMDB0049640 C61H104O6
HMDB0054442 C65H112O6
HMDB0287368 C48H82NO9P
HMDB0287941 C50H90NO10P
HMDB0011838 C75H133N3O34
HMDB0011831 C90H159N3O39
HMDB0286185 C47H82NO9P
HMDB0055929 C67H100O6
HMDB0114780 C35H63O8P
HMDB0046560 C63H114O6
HMDB0287911 C48H88NO11P
HMDB0007575 C43H68O5
HMDB0115057 C44H87O8P
HMDB0115394 C47H79O8P
HMDB0053109 C63H98O6
HMDB0265667 C45H79O9P
HMDB0285689 C42H74NO9P
HMDB0010684 C44H75O10P
HMDB0051400 C63H110O5
HMDB0263292 C39H69O11P
HMDB0263699 C41H71O9P
HMDB0044241 C65H114O6
HMDB0037441 C16H12O6
HMDB0008632 C48H82NO8P
HMDB0043321 C62H112O6
HMDB0286189 C47H82NO9P
HMDB0014484 C20H23NS
HMDB0045889 C61H104O6
HMDB0053793 C63H104O6
HMDB0288548 C48H80NO9P
HMDB0006497 C38H68N7O17P3S
HMDB0050585 C61H110O6
HMDB0009421 C43H76NO8P
HMDB0004073 C10H9NO2
HMDB0046639 C65H120O6
HMDB0004029 C21H28O4
HMDB0262869 C36H63O9P
HMDB0289797 C46H80NO8P
HMDB0048176 C59H94O6
HMDB0286786 C46H76NO9P
HMDB0012078 C87H152N4O37
HMDB0048618 C55H98O6
HMDB0053931 C63H106O6
HMDB0009649 C43H76NO8P
HMDB0009352 C41H76NO8P
HMDB0265136 C43H69O9P
HMDB0265691 C45H79O10P
HMDB0053271 C55H94O6
HMDB0030728 C20H24O4
HMDB0047054 C57H108O6
HMDB0009235 C45H82NO8P
HMDB0049012 C63H108O6
HMDB0008504 C48H86NO8P
HMDB0055306 C65H100O6
HMDB0265665 C45H79O9P
HMDB0266072 C45H71O9P
HMDB0288482 C50H86NO11P
HMDB0046799 C65H112O6
HMDB0060438 C20H14O2
HMDB0286760 C49H83N2O11PS
HMDB0049297 C57H98O6
HMDB0287322 C50H82NO9P
HMDB0267316 C35H61O9P
HMDB0114931 C41H79O8P
HMDB0004942 C73H131N3O26
HMDB0265967 C45H71O9P
HMDB0267798 C39H67O11P
HMDB0288346 C50H80NO9P
HMDB0045222 C63H114O6
HMDB0054258 C63H98O6
HMDB0002178 C48H80N7O20P3S
HMDB0011369 C37H72NO7P
HMDB0014853 C19H20FNO3
HMDB0045056 C67H126O6
HMDB0060310 C26H42N7O19P3S
HMDB0042695 C59H106O6
HMDB0045325 C59H100O6
HMDB0046219 C65H108O6
HMDB0264472 C42H73O9P
HMDB0266068 C45H71O9P
HMDB0115199 C37H61O8P
HMDB0006769 C19H28O3
HMDB0045640 C67H128O6
HMDB0044723 C57H110O6
HMDB0007324 C43H66O5
HMDB0288893 C28H50NO9P
HMDB0047439 C63H114O6
HMDB0042896 C59H96O6
HMDB0250588 C9H12O2
HMDB0002596 C30H48O10
HMDB0263939 C39H67O9P
HMDB0042298 C53H90O6
HMDB0047724 C45H82O6
HMDB0049075 C55H98O6
HMDB0287818 C48H94NO10P
HMDB0285861 C45H78NO10P
HMDB0288641 C52H94NO9P
HMDB0266998 C38H69O9P
HMDB0004901 C62H112N2O23
HMDB0054671 C63H106O6
HMDB0054139 C63H104O6
HMDB0001917 C41H64O14
HMDB0268150 C43H77O9P
HMDB0048068 C59H112O5
HMDB0055025 C69H112O6
HMDB0048006 C59H104O6
HMDB0054021 C59H94O6
HMDB0005794 C15H10O7
HMDB0265777 C45H77O9P
HMDB0009271 C47H90NO8P
HMDB0007191 C39H68O5
HMDB0007714 C43H68O5
HMDB0014391 C21H21ClN4OS
HMDB0285713 C42H74NO11P
HMDB0012942 C18H20O3
HMDB0032006 C45H38O16
HMDB0003501 C9H8O4
HMDB0046185 C63H110O6
HMDB0008221 C48H80NO8P
